PRIMARY_SAMPLE_UNIT,YEAR,STATION_NR,DEPTH,MAX_HARD_RELIEF,MAX_SOFT_RELIEF,AVG_HARD_RELIEF,PCT_SAND,PCT_HARD_BOTTOM,PCT_RUBBLE,PCT_CORAL,PCT_OCTO,PCT_SPONGE,LAT_DEGREES,LON_DEGREES
1088,2017,1,23.3172,0.45,0.75,0.11875,2.5,95,2.5,3,0,7.5,17.77227,-64.56337
1089,2017,1,25.6032,2.25,1.6,0.50275,27.5,62.5,10,27.5,15,3.5,17.77508,-64.53798
1090,2017,1,20.7264,0.4,0.45,0.11875,40,55,5,6,10,22.5,17.78749,-64.57154
1091,2017,1,23.7744,0.775,1.375,0.33,5,90,5,10,10,3,17.78781,-64.5343
1092,2017,1,18.1356,0.75,1.525,0.2055,0,99,1,17.5,41.5,6,17.79318,-64.55362
1093,2017,1,16.764,0.405,1.15,0.12075,0,95,5,6.5,38.5,12.5,17.79633,-64.55036
1095,2017,1,20.4216,1.05,2.05,0.3375,7.5,72.5,20,12,15,12.5,17.7753,-64.49409
1098,2017,1,20.4216,0.675,2.125,0.26875,2.5,95,2.5,6,10,10.5,17.78643,-64.47695
1099,2017,1,21.4884,0.5,1.95,0.125,15,67.5,17.5,4,12.5,7.5,17.79171,-64.47143
1100,2017,1,17.8308,0.475,1.4,0.125,5,87.5,7.5,4.5,15,13,17.79264,-64.46115
1101,2017,1,22.5552,0.45,1.1,0.12225,6,87.5,6.5,12.5,36.5,13.5,17.79657,-64.52
1104,2017,1,14.9352,0.45,1.55,0.16875,6,92,2,9.5,65,9,17.80056,-64.53642
1105,2017,1,22.7076,0.675,1.725,0.16025,2.5,87.5,10,3,9,4,17.80165,-64.52598
1106,2017,1,13.2588,0.275,1.875,0.10625,1,99,0,3.5,22.5,7.5,17.8016,-64.54086
1107,2017,1,20.8788,1.05,1.7,0.2625,10,82.5,7.5,4.5,7,2.5,17.80533,-64.52651
1108,2017,1,17.6784,0.75,1.15,0.27625,10,87.5,2.5,13,27.5,7,17.80729,-64.52806
1109,2017,1,21.7932,1.75,1.35,0.37875,17.5,80,2.5,7.5,15,4,17.81115,-64.49591
1110,2017,1,17.526,0.8,1.275,0.295,0,67.5,32.5,4.5,16.5,4,17.81464,-64.49993
1111,2017,1,23.3172,0.4,1.3,0.14375,52.5,37.5,10,7.5,25,8,17.81535,-64.47942
1112,2017,1,12.3444,0.45,1.25,0.125,5,90,5,8,13.5,10,17.81903,-64.50109
1113,2017,1,16.3068,0.45,0.7,0.10875,15,30,55,6,11.5,3.5,17.82053,-64.49941
1115,2017,1,18.8976,2.5,0.725,1.146,20,75,5,4.5,0.5,3,17.76724,-64.73035
1119,2017,1,26.67,0.8,1.15,0.35,0,100,0,4.5,15,6.5,17.79189,-64.74884
1120,2017,1,15.6972,1.525,0.8,0.391375,35,40,25,4.5,9,5.5,17.64103,-64.85118
1121,2017,1,13.2588,0.625,0.6,0.129,2.5,96.5,1,3,2.5,4,17.6424,-64.84934
1122,2017,1,19.2024,0.95,0.95,0.2425,40,47.5,12.5,3,9.5,12,17.64457,-64.90317
1124,2017,1,13.4112,0.3,0.48,0.11875,0,95,5,1,1.5,2.5,17.64957,-64.85538
1125,2017,1,26.9748,0.65,0.975,0.2015,45,55,0,1.5,6,14,17.64916,-64.92143
1126,2017,1,17.2212,0.85,0.8,0.20125,5,77.5,17.5,3.5,7.5,4.5,17.65081,-64.80896
1132,2017,1,14.7828,0.55,0.61,0.11325,1,98.5,0.5,1,0,5.5,17.68541,-64.67719
1133,2017,1,16.4592,0.875,0.7,0.2125,15,67,18,0,2.5,2,17.68855,-64.68384
1134,2017,1,17.6784,0.5,2.5,0.1625,17.5,65,17.5,7.5,31.5,6,17.77504,-64.59457
1136,2017,1,11.7348,0.7,0.95,0.22375,35,62.5,2.5,17.5,17.5,5,17.78562,-64.58656
1138,2017,1,25.2984,0.7,1.325,0.325,7.5,85,7.5,2,3,6,17.69783,-64.62761
1140,2017,1,18.7452,0.925,1,0.27775,40,55,5,34,17.5,6,17.77569,-64.57332
1141,2017,1,26.5176,0.65,0.85,0.10875,92.5,5,2.5,30,10,10,17.77849,-64.53334
1142,2017,1,25.2984,2.5,1.8,0.897,10,90,0,35,7.5,7.5,17.78884,-64.49493
1143,2017,1,29.2608,2.25,0.9,1.0405,10,90,0,55,5.5,7,17.79675,-64.47728
1146,2017,1,25.7556,0.775,0.775,0.20175,75,25,0,6.5,11.5,13,17.75257,-64.8955
1149,2017,1,29.2608,0.35,1,0.11875,0,82.5,17.5,1,8,5,17.7907,-64.75179
1151,2017,1,12.8016,0.25,0.45,0.10625,5,94.5,0.5,2.5,0.5,4,17.67053,-64.77865
1163,2017,1,11.43,1.45,0.55,0.54675,17.5,42.5,40,20,5,5,17.76322,-64.72225
1176,2017,1,10.8204,1.275,1.75,0.4831875,12.5,62.5,25,30,35,1,17.78453,-64.6078
1178,2017,1,7.0104,1.5,0.775,0.6525,0,100,0,16,7.5,0.5,17.79313,-64.60405
1179,2017,1,10.2108,3,1.9,0.16,80,17.5,2.5,12.5,25,0.5,17.79567,-64.62544
1180,2017,1,10.9728,2.35,1.75,0.2735,57.5,40,2.5,17,35,3,17.79612,-64.62161
1181,2017,1,9.906,3.45,1.9,0.846,15,64.5,20.5,8,17.5,0.5,17.79649,-64.62453
1182,2017,1,11.1252,1.6,2.1,0.25375,40,45,15,10,32.5,0.5,17.79748,-64.62298
1183,2017,1,7.1628,4,1.15,1.734,17.5,75,7.5,9.5,10,0.5,17.79929,-64.62489
1184,2017,1,4.7244,1.425,1.05,0.35375,0,87.5,12.5,17.5,14.5,0,17.80066,-64.62397
1186,2017,1,3.9624,0.8,0.2,0.20125,70,30,0,20,0,2.5,17.71362,-64.66302
1187,2017,1,4.1148,0.85,0.2,0.3425,10,90,0,3,0.5,0.5,17.71456,-64.66269
1190,2017,1,7.7724,0.85,0.5,0.297,0,99,1,1,2.5,0.5,17.69168,-64.69184
